Address,CityOrCounty,State,Month,Day ,Year,Latitude,Longitude,StateAbr
3813 Richard Arrington Boulevard North,Birmingham,Alabama,12,23,2016,32.63501642,-86.80937931,AL
4900 block of West Hubbard,Chicago,Illinois,12,23,2016,41.83861021,-87.68661087,IL
4115 N. Tryon Street,Charlotte,North Carolina,12,17,2016,35.20787221,-80.83007545,NC
100 block of West 105th Street,Chicago (Roseland),Illinois,12,17,2016,40.10756121,-89.1611563,IL
4300 block of South Rockwell,Chicago,Illinois,12,16,2016,41.83861021,-87.68661087,IL
13th and South Kedzie,Chicago,Illinois,12,16,2016,41.83861021,-87.68661087,IL
4800 block of Myrtle Avenue,Sacramento,California,12,12,2016,38.56663215,-121.4682998,CA
192 Knickerbocker Ave,Brooklyn,New York,12,11,2016,40.63439283,-73.95026864,NY
4305 N Pine Hills Rd,Orlando (Pine Hills),Florida,12,11,2016,28.5959774,-81.450956,FL
3916 South Hanover Street,Baltimore,Maryland,12,11,2016,39.2349142,-76.6116844,MD
1200 block of East Highland Ave,Rocky Mount,North Carolina,12,11,2016,35.3662481,-79.42939386,NC
15300 block of Market,Channelview,Texas,12,9,2016,29.79136675,-95.11502412,TX
842 Fresno Street,Fresno,California,12,9,2016,36.72772265,-119.8034045,CA
1532 Stagecoach Lane,Albuquerque,New Mexico,12,5,2016,35.1055517,-106.6473884,NM
91st Street and Western Avenue,Los Angeles,California,12,3,2016,34.10482229,-118.4110473,CA
3 1st Ave,Bloomfield,New Jersey,12,2,2016,40.80982702,-74.18694884,NJ
N/A,Clearlake Oaks,California,12,1,2016,39.02190323,-122.6591908,CA
2901 Garrison Blvd,Baltimore,Maryland,11,30,2016,39.3207155,-76.6770759,MD
1840 West Palma Vista Drive,Mission (Palmview),Texas,11,28,2016,31.53834907,-99.6497468,TX
1067 McDonald Avenue,Wilmington,California,11,28,2016,37.24004903,-119.5032355,CA
300 block of West 2nd Street,San Pedro,California,11,28,2016,37.24004903,-119.5032355,CA
100 block of Bourbon Street,New Orleans,Louisiana,11,27,2016,30.06880013,-89.9308814,LA
Gregory and Prospect,Kansas City,Missouri,11,27,2016,38.30885939,-92.50820581,MO
8800 block of S Exchange Ave,Chicago,Illinois,11,26,2016,41.83861021,-87.68661087,IL
Magnolia Street and Felicity Street,New Orleans,Louisiana,11,25,2016,30.06880013,-89.9308814,LA
4501 W Broadway,Louisville,Kentucky,11,24,2016,38.2514994,-85.8275634,KY
77 Central Ave,Albany,New York,11,24,2016,42.66639697,-73.79868263,NY
928 Cross Road,Olive Branch,Mississippi,11,23,2016,34.8474141,-89.8654396,MS
1068 Harlem Academy Avenue,Clewiston,Florida,11,22,2016,26.75320047,-80.93990713,FL
5000 block of West Wabansia,Chicago,Illinois,11,18,2016,41.83861021,-87.68661087,IL
160 Longfellow,Dyersburg,Tennessee,11,17,2016,36.04595613,-89.37819637,TN
5105 Cleveland Rd,Jacksonville,Florida,11,13,2016,30.3649245,-81.7060216,FL
8000 Midcrown,San Antonio,Texas,11,13,2016,31.53834907,-99.6497468,TX
3800 block of Marlborough Avenue,San Diego,California,11,13,2016,32.81689046,-117.1333353,CA
Conley Street and South Ivey Lane,Orlando,Florida,11,13,2016,28.4158857,-81.2987497,FL
8600 block of Ardith Drive,Sacramento,California,11,12,2016,38.56663215,-121.4682998,CA
21st St and Cleveland Ave,Kansas City,Missouri,11,12,2016,38.30885939,-92.50820581,MO
2500 Park Avenue,Bridgeport,Connecticut,11,12,2016,41.18705826,-73.19553341,CT
7705 Channelside Street,Houston,Texas,11,11,2016,29.7804724,-95.3863425,TX
6610 S Sam Houston Pkwy W,Houston,Texas,11,10,2016,29.7804724,-95.3863425,TX
1524 3rd Ave,Seattle,Washington,11,9,2016,47.6105993,-122.3380513,WA
3400 block of W Monroe,Chicago,Illinois,11,9,2016,41.83861021,-87.68661087,IL
1800 block of East Brooks Road,Memphis,Tennessee,11,9,2016,35.10520292,-89.97735447,TN
3135 West Broward Boulevard,Fort Lauderdale (Lauderhill),Florida,11,5,2016,28.14683286,-83.20422736,FL
10726 Perrin Beitel Rd,San Antonio,Texas,11,5,2016,31.53834907,-99.6497468,TX
803 Main St,Myrtle Beach,South Carolina,11,5,2016,33.6935892,-78.8843059,SC
420 14th Street,Oakland,California,11,5,2016,37.8042559,-122.2703024,CA
4800 block of North Winthrop,Chicago,Illinois,11,5,2016,41.83861021,-87.68661087,IL
5451 Springfield Ave,Philadelphia,Pennsylvania,11,4,2016,39.94000389,-75.22552609,PA
8000 block of S Shore Dr,Chicago,Illinois,11,3,2016,41.83861021,-87.68661087,IL
234 Cleveland Street,Orange,New Jersey,11,3,2016,40.12272985,-74.70346139,NJ
2111 Bragg Street,Little Rock,Arkansas,11,2,2016,34.7280381,-92.2659877,AR
5200 block of Zodiac Rd,Memphis,Tennessee,11,1,2016,35.10520292,-89.97735447,TN
700 Block of W 68th St,Shreveport,Louisiana,10,31,2016,30.8956711,-91.67752985,LA
742 Junction Ave,Toledo,Ohio,10,30,2016,41.6481458,-83.5770341,OH
135 Ridge Street,New York (Manhattan),New York,10,30,2016,42.6687355,-75.44096178,NY
119 First Street,Newburgh,New York,10,30,2016,41.50369729,-74.02047219,NY
6860 Walker Mill Road,Capitol Heights,Maryland,10,30,2016,38.87695016,-76.90745885,MD
2900 block of Aspen Meadow,San Antonio,Texas,10,30,2016,31.53834907,-99.6497468,TX
2010 Cornell Ridge Dr,Dayton,Ohio,10,29,2016,39.77961307,-84.20082874,OH
1600 block of Century Boulevard,Los Angeles,California,10,29,2016,34.10482229,-118.4110473,CA
3500 block of Madison Street,Riverside,California,10,29,2016,33.93812516,-117.3948458,CA
200 block of Lorenz Blvd,Jackson,Mississippi,10,28,2016,32.31702909,-90.21275137,MS
Northwest 173rd Terrace and 27th Avenue,Miami Gardens,Florida,10,28,2016,25.94326339,-80.24253322,FL
600 block of Moccasin Gap Road,Jackson,Georgia,10,27,2016,33.2910663,-83.96814417,GA
3300 block of Riverside Dr,Dayton,Ohio,10,25,2016,39.77961307,-84.20082874,OH
830 Campbell Avenue Southeast,Roanoke,Virginia,10,25,2016,37.27821818,-79.9581616,VA
Highway 66 and N 3310 Rd,Wellston,Oklahoma,10,23,2016,35.68602046,-97.06146991,OK
77th and Bancroft Avenues,Oakland,California,10,22,2016,37.77108878,-122.2249767,CA
325 La Grande Ave,San Francisco,California,10,18,2016,37.75971499,-122.6939756,CA
6700 block of South Winchester,Chicago (Englewood),Illinois,10,17,2016,40.10756121,-89.1611563,IL
1800 block of St Stephens Road,Mobile,Alabama,10,15,2016,30.66726266,-88.10116594,AL
7801 East State St,Rockford,Illinois,10,15,2016,42.26315005,-89.06121191,IL
2918 Rimpau Blvd,Los Angeles,California,10,15,2016,34.0271838,-118.3508704,CA
3300 block of W Maypole Ave,Chicago,Illinois,10,14,2016,41.83861021,-87.68661087,IL
2700 block of West Lexington,Chicago,Illinois,10,13,2016,41.83861021,-87.68661087,IL
1850 28th Street SE,Grand Rapids,Michigan,10,9,2016,42.96148154,-85.65568585,MI
1696 Arden Way,Sacramento,California,10,9,2016,38.56663215,-121.4682998,CA
7301 3rd Ave,Brooklyn,New York,10,8,2016,40.63439283,-73.95026864,NY
3727 Ulloa Street,New Orleans,Louisiana,10,4,2016,29.9673614,-90.1018816,LA
Fourth St and Hennepin Ave,Minneapolis,Minnesota,10,3,2016,44.96354079,-93.26783453,MN
2600 South Flores Street,San Antonio,Texas,10,2,2016,31.53834907,-99.6497468,TX
17250E Road,Pembroke Township,Illinois,10,1,2016,40.10756121,-89.1611563,IL
3200 block of East Clay Avenue,Fresno,California,10,1,2016,36.7826736,-119.794492,CA
400 block of Ellis Street,San Francisco,California,9,29,2016,37.75971499,-122.6939756,CA
100 block of 5 Royales Dr,Winston Salem (Winston-salem),North Carolina,9,26,2016,35.3662481,-79.42939386,NC
21219 Grand Linden Ct,Humble,Texas,9,26,2016,29.99200229,-95.26578468,TX
5450 Weslayan St,Houston,Texas,9,26,2016,29.7804724,-95.3863425,TX
300 block of E. Green St,Champaign,Illinois,9,25,2016,40.1138099,-88.2752997,IL
Greenmount Avenue and Preston Street,Baltimore,Maryland,9,24,2016,39.23545018,-76.63677351,MD
201 Cascade Mall Dr,Burlington,Washington,9,23,2016,48.46767358,-122.3298183,WA
3001 Castor Avenue,Philadelphia,Pennsylvania,9,18,2016,39.98569718,-75.0859375,PA
421 Rivermont Ave,Lynchburg,Virginia,9,18,2016,37.40041632,-79.19110808,VA
1700 block of Brighton Place,Pittsburgh,Pennsylvania,9,18,2016,40.43946574,-79.97631573,PA
20582 SW 119th Ave,Miami,Florida,9,17,2016,25.77525637,-80.20885121,FL
3918 Columbia St,Orlando,Florida,9,17,2016,28.5268272,-81.4243508,FL
2016 West 76th Street,Indianapolis,Indiana,9,17,2016,39.77710046,-86.14634767,IN
2600 block of Birney Place SE,Washington,District of Columbia,9,17,2016,38.90477236,-77.01628888,DC
5100 block of Sansom St,Philadelphia,Pennsylvania,9,16,2016,40.00763806,-75.1339627,PA
555 N Heliotrope Dr,Los Angeles (Hollywood),California,9,16,2016,34.080683,-118.2954511,CA
16000 block of Saybrook,Humble,Texas,9,14,2016,29.99200229,-95.26578468,TX
1723 E Wayne St,Fort Wayne,Indiana,9,13,2016,41.08849204,-85.14358989,IN
3006 Holton Avenue,Fort Wayne,Indiana,9,11,2016,41.08849204,-85.14358989,IN
2349 S Claiborne Ave,New Orleans,Louisiana,9,11,2016,29.9447143,-90.0913642,LA
87 Van Wagenen Ave,Jersey City,New Jersey,9,11,2016,40.12272985,-74.70346139,NJ
500 block of Westport Rd,Kansas City,Missouri,9,11,2016,38.30885939,-92.50820581,MO
2207 Pierce Road,Saginaw,Michigan,9,11,2016,43.4192825,-83.95032993,MI
1100 block of Highway 70,New Bern,North Carolina,9,11,2016,35.09685768,-77.0731308,NC
3451 Northwest 36 Street,Miami,Florida,9,10,2016,25.77525637,-80.20885121,FL
8330 Linden Rd,Del Valle,Texas,9,8,2016,31.53834907,-99.6497468,TX
300 block of Lacey St,Hot Springs National Park (Hot Springs),Arkansas,9,8,2016,34.87946371,-92.38111209,AR
2700 block of W Lexington Ave,Chicago,Illinois,9,5,2016,41.83861021,-87.68661087,IL
600 block of Moss Street,Reading,Pennsylvania,9,5,2016,40.33993195,-75.92661555,PA
1020 Orange Ave NE,Roanoke,Virginia,9,4,2016,37.27821818,-79.9581616,VA
100 block of North Seeley Avenue,Chicago,Illinois,9,3,2016,41.83861021,-87.68661087,IL
600 block of North 30th Street,Wilmington,North Carolina,9,3,2016,35.3662481,-79.42939386,NC
400 Merritts Avenue NE,Atlanta,Georgia,8,30,2016,33.7690147,-84.3744412,GA
6800 block of South Ashland,Chicago (Englewood),Illinois,8,30,2016,40.10756121,-89.1611563,IL
907 White Horse Pike,Egg Harbor City,New Jersey,8,29,2016,39.5639379,-74.59677963,NJ
41450 Cruz Way,Temecula,California,8,29,2016,33.5196208,-117.0318351,CA
2200 block of 17th St,Lubbock,Texas,8,28,2016,33.56662511,-101.8863357,TX
514 E 156th St,Bronx,New York,8,28,2016,40.84911597,-73.85295233,NY
S Grand Blvd and Montana St,Saint Louis,Missouri,8,28,2016,38.30885939,-92.50820581,MO
512 E Columbus St,Dadeville,Alabama,8,28,2016,32.83258747,-85.76749401,AL
3810 7th Ave,Bessemer (Brighton),Alabama,8,27,2016,32.63501642,-86.80937931,AL
1900 block of NW 83rd Terr,Miami,Florida,8,27,2016,25.77525637,-80.20885121,FL
Marion Street,Bridgeton,New Jersey,8,25,2016,39.42843443,-75.22836352,NJ
19 Plymouth St,Bridgeport,Connecticut,8,21,2016,41.1983351,-73.1755087,CT
Westview and Stratton Street,Boston,Massachusetts,8,21,2016,42.3322209,-71.01643176,MA
900 block of Pacific Avenue,Tacoma,Washington,8,20,2016,47.25174587,-122.4596112,WA
903 Dixwell Ave,Hamden,Connecticut,8,20,2016,41.39606285,-72.92152048,CT
Jim Platt Road,Citronelle,Alabama,8,20,2016,31.0948704,-88.24735049,AL
402 E Main Street,Waterbury,Connecticut,8,18,2016,41.5541628,-73.0340055,CT
Mandela Parkway,Oakland,California,8,17,2016,37.77108878,-122.2249767,CA
1600 block of Selden Avenue,Norfolk,Virginia,8,14,2016,36.92334179,-76.24561422,VA
1717 Plymouth Ave N,Minneapolis,Minnesota,8,14,2016,44.9911983,-93.3025636,MN
6300 block of 11th Avenue,Los Angeles,California,8,13,2016,34.10482229,-118.4110473,CA
4001 West Fond Du Lac Ave,Milwaukee,Wisconsin,8,13,2016,43.0641114,-87.96721631,WI
Jamaica Ave and 105th St,Richmond Hill,New York,8,13,2016,42.6687355,-75.44096178,NY
1800 Connecticut Ave,Joplin,Missouri,8,13,2016,37.07596793,-94.50214662,MO
100 block of West 38th Street,Jacksonville,Florida,8,12,2016,30.3369138,-81.66090703,FL
10921 Estate Ln,Dallas,Texas,8,12,2016,32.8824461,-96.6970066,TX
500 block of E Ashmead St,Philadelphia,Pennsylvania,8,11,2016,40.00763806,-75.1339627,PA
Foster Street and Jackson Avenue,Evanston,Illinois,8,10,2016,42.04634675,-87.69394724,IL
4000 Green Tree Drive,Sacramento,California,8,10,2016,38.56663215,-121.4682998,CA
341 General Marshall Street NE,Albuquerque,New Mexico,8,8,2016,35.1055517,-106.6473884,NM
1214 Labelle St,Jacksonville,Florida,8,8,2016,30.3002378,-81.7342565,FL
5925 South Figueroa Street,Los Angeles,California,8,7,2016,33.986634,-118.2828613,CA
4460 Clay St,Vicksburg,Mississippi,8,7,2016,32.3437295,-90.8295334,MS
5400 block of Sheridan Boulevard,Arvada,Colorado,8,7,2016,39.8097397,-105.1066199,CO
100 block of South Springfield,Chicago,Illinois,8,7,2016,41.83861021,-87.68661087,IL
51 Winding Brook Drive,Reading (Sinking Spring),Pennsylvania,8,6,2016,40.99568088,-77.78712223,PA
70 block of Thorpe Street,Pontiac,Michigan,8,5,2016,42.64932157,-83.28780622,MI
21600 block of Rider St,Perris,California,8,5,2016,33.78973456,-117.2232918,CA
Ayers Street and Griffith Avenue,Memphis,Tennessee,8,4,2016,35.10520292,-89.97735447,TN
4110 Glenwood Road,Decatur,Georgia,8,3,2016,33.77121517,-84.29675277,GA
5700 block of Hallandale Beach Blvd,Hollywood (West Park),Florida,8,2,2016,28.14683286,-83.20422736,FL
South Bedford Avenue,Evansville,Indiana,8,1,2016,37.98671582,-87.53827073,IN
Southwest 203rd Terrace and 115th Avenue,Miami,Florida,7,31,2016,25.77525637,-80.20885121,FL
208 E 6th St,Austin,Texas,7,31,2016,30.2677772,-97.7408092,TX
5000 block of Kensington Ave,Saint Louis,Missouri,7,30,2016,38.30885939,-92.50820581,MO
14699 Highway 17,Townsend (Eulonia),Georgia,7,30,2016,32.6176611,-83.39219224,GA
10009 Chennault Beach,Mukilteo,Washington,7,30,2016,47.91645001,-122.3103173,WA
Trail Creek St,Athens,Georgia,7,29,2016,33.95081707,-83.36894174,GA
303 College Ave,Elmira,New York,7,28,2016,42.12669007,-76.82556626,NY
Greenmount Avenue,Baltimore,Maryland,7,28,2016,39.30097988,-76.61064805,MD
800 block of West 50th Place,Chicago,Illinois,7,28,2016,41.83861021,-87.68661087,IL
3580 Evans Ave,Fort Myers,Florida,7,25,2016,26.61950094,-81.83031527,FL
1555 Main St,Hamilton,Ohio,7,24,2016,39.3940584,-84.56554243,OH
3630 Ashley Phosphate Road,North Charleston,South Carolina,7,23,2016,32.9255025,-80.0847549,SC
Fountain Avenue,Brooklyn,New York,7,23,2016,40.63439283,-73.95026864,NY
3400 block of Beekman Street,Cincinnati,Ohio,7,23,2016,39.14291321,-84.50366914,OH
202 Childers Drive,Bastrop,Texas,7,23,2016,30.1029939,-97.3290306,TX
300 block of North Wildwood Avenue,Kankakee,Illinois,7,22,2016,41.10161741,-87.86482915,IL
4400 block of South Leamington,Chicago,Illinois,7,21,2016,41.83861021,-87.68661087,IL
Hedges at Peach and Olive,Fresno,California,7,20,2016,36.7826736,-119.794492,CA
13th Street and Tyler Avenue,West Memphis,Arkansas,7,19,2016,35.15322461,-90.19876717,AR
9611 Airline Highway,Baton Rouge,Louisiana,7,17,2016,30.4338186,-91.0813972,LA
6610 Tidwell,Houston,Texas,7,17,2016,29.7804724,-95.3863425,TX
Grand River and McGraw avenue,Detroit,Michigan,7,17,2016,41.93132091,-83.3292499,MI
6300 block of Benavides Drive,Dallas,Texas,7,16,2016,32.79464486,-96.76633721,TX
5000 block of Euclid Avenue,Cleveland,Ohio,7,16,2016,41.51121521,-81.56356397,OH
1200 block of West 25th Street,San Bernardino,California,7,16,2016,34.13970281,-117.2942335,CA
621 Stephens Drive,Bakersfield,California,7,16,2016,35.347839,-119.035941,CA
1348 College Street,Clarksville,Tennessee,7,16,2016,36.56968315,-87.34323717,TN
4006 NW 417th Street,Woodland,Washington,7,15,2016,45.9233043,-122.712554,WA
400 block of Pecan Avenue,Crosby,Texas,7,14,2016,29.91462267,-95.05908104,TX
1600 block of 7th Street,Oakland,California,7,14,2016,37.77108878,-122.2249767,CA
900 block of Moeller Avenue,Akron,Ohio,7,14,2016,41.08004268,-81.52186217,OH
105 Magnolia Avenue,Warner Robins,Georgia,7,13,2016,32.5970961,-83.653936,GA
3000 block of Miami St,Saint Louis,Missouri,7,13,2016,38.30885939,-92.50820581,MO
1800 block of W. North Avenue,Baltimore,Maryland,7,11,2016,39.23545018,-76.63677351,MD
500 block of Summit Avenue,Jackson,Michigan,7,11,2016,42.24311101,-84.40377718,MI
811 Port St,Saint Joseph,Michigan,7,11,2016,44.81566738,-86.14800697,MI
5100 block of Call Pl. SE,Washington,District of Columbia,7,11,2016,38.90477236,-77.01628888,DC
536 Volunteer Parkway,Bristol,Tennessee,7,7,2016,36.55604316,-82.21430545,TN
800 Main St,Dallas,Texas,7,7,2016,32.7791698,-96.8049588,TX
2136 North Lobdell Avenue,Baton Rouge,Louisiana,7,7,2016,30.4507665,-91.12584647,LA
56th Street and Naomi Avenue,Los Angeles,California,7,5,2016,34.10482229,-118.4110473,CA
Seventh  Ave and Liberty Ave,Pittsburgh,Pennsylvania,7,4,2016,40.43946574,-79.97631573,PA
5500 block of South Hermitage Avenue,Chicago (Englewood),Illinois,7,4,2016,40.10756121,-89.1611563,IL
419 Chauncey Street,Brooklyn,New York,7,4,2016,40.63439283,-73.95026864,NY
1400 block of W. 107 Street,Cleveland,Ohio,7,4,2016,41.51121521,-81.56356397,OH
1300 block of Robin,Houston,Texas,7,4,2016,29.7804724,-95.3863425,TX
4000 block of West Southern Avenue,Phoenix,Arizona,7,4,2016,33.5721625,-112.0879662,AZ
401 Lea Joyner Memorial Expy,Monroe,Louisiana,7,3,2016,32.51814451,-92.07735384,LA
2300 block of Daisy Street,Chattanooga,Tennessee,7,3,2016,35.06804894,-85.24908097,TN
9500 block of South Loomis Street,Chicago,Illinois,6,30,2016,41.83861021,-87.68661087,IL
6100 block of West Lake Mead Boulevard,Las Vegas,Nevada,6,29,2016,36.2277116,-115.2640448,NV
13800 block of S Avalon Boulevard,Los Angeles,California,6,28,2016,34.10482229,-118.4110473,CA
1600 block of South Christiana,Chicago,Illinois,6,28,2016,41.83861021,-87.68661087,IL
13436 Killiam Loop NE,Woodburn,Oregon,6,27,2016,45.1476872,-122.8585376,OR
Highway 38 N,Bennettsville,South Carolina,6,26,2016,34.63040898,-79.68741982,SC
1500 block of Moreland Avenue SE,Atlanta,Georgia,6,26,2016,33.76265247,-84.4231419,GA
6000 block of Elm Street,Houston,Texas,6,26,2016,29.7804724,-95.3863425,TX
Baldwin Blvd  and Lamar,Corpus Christi,Texas,6,26,2016,27.73759861,-97.28696423,TX
2240 Camp Greene St.,Charlotte,North Carolina,6,26,2016,35.2246419,-80.8849926,NC
2466 East Lancaster Avenue,Fort Worth,Texas,6,25,2016,32.7442287,-97.2917827,TX
700 block of Craig Street,Norfolk,Virginia,6,25,2016,36.92334179,-76.24561422,VA
1400 block of W. 114th Place,Chicago,Illinois,6,25,2016,41.83861021,-87.68661087,IL
N. 3rd and Walker,Kansas City,Kansas,6,24,2016,38.49058144,-98.35318177,KS
Brook and Winter Street,Hartford,Connecticut,6,24,2016,41.76607064,-72.68340124,CT
3100 block of Orleans Ave,District Heights,Maryland,6,24,2016,38.85929718,-76.88788338,MD
500 block of Dutterow Road SE,Olympia,Washington,6,22,2016,47.04173016,-122.8957946,WA
Lancashire Drive and Central Drive,Dekalb (county),Georgia,6,22,2016,32.6176611,-83.39219224,GA
3100 block of West Warren,Chicago,Illinois,6,22,2016,41.83861021,-87.68661087,IL
Mosshill Lane,Willingboro,New Jersey,6,21,2016,40.02804204,-74.88813539,NJ
2802 Rodman Street,Louisville,Kentucky,6,21,2016,38.2089074,-85.7701335,KY
2328 Melrose Avenue,Roanoke,Virginia,6,19,2016,37.28588396,-79.97503693,VA
Fredrick Douglas Road,Exmore,Virginia,6,18,2016,37.52945706,-75.82812562,VA
2625 Arnold Ct,Waycross,Georgia,6,18,2016,31.21091212,-82.35788436,GA
East 79th Street and South Escanaba Avenue,Chicago,Illinois,6,18,2016,41.83861021,-87.68661087,IL
South Van Buren and Elm streets,Wilmington,Delaware,6,14,2016,39.06278721,-75.43669486,DE
1301 Franklin Street,Oakland,California,6,14,2016,37.803477,-122.2704963,CA
East El Monte Way and Recreation Avenue,Fresno,California,6,13,2016,36.7826736,-119.794492,CA
Avenue D and E. 57th,Brooklyn,New York,6,13,2016,40.63439283,-73.95026864,NY
3200 block of West Congress,Chicago,Illinois,6,13,2016,41.83861021,-87.68661087,IL
1912 S Orange Avenue,Orlando,Florida,6,12,2016,28.5196023,-81.3767061,FL
2300 block of Davis Ave,Roswell,New Mexico,6,11,2016,33.37291265,-104.5293172,NM
4000 block of Elmore Avenue,Webster,Minnesota,6,11,2016,44.50063035,-93.34199161,MN
Alvarado Avenue,Stockton,California,6,11,2016,37.97672722,-121.3121116,CA
8500 block of Cedros Avenue,Panorama City,California,6,11,2016,37.24004903,-119.5032355,CA
4000 block of Collegiate Avenue,Charlotte,North Carolina,6,11,2016,35.20787221,-80.83007545,NC
Landview Drive,Fort Walton Beach,Florida,6,9,2016,30.42439959,-86.61918485,FL
North Capitol Street and New York Avenue NW,Washington,District of Columbia,6,8,2016,38.90477236,-77.01628888,DC
66 Washington St,Boston,Massachusetts,6,8,2016,42.373484,-71.066195,MA
33 60 South Fairway Street,Visalia,California,6,6,2016,36.32714166,-119.3273156,CA
8th and Humboldt Avenue N.,Minneapolis,Minnesota,6,5,2016,44.96354079,-93.26783453,MN
2600 block of Skyline Boulevard S,Cape Coral,Florida,6,5,2016,26.64414689,-81.99658797,FL
8152 N Black Canyon Hwy,Phoenix,Arizona,6,5,2016,33.5721625,-112.0879662,AZ
Mermaid Ave and 16th St.,Brooklyn,New York,6,5,2016,40.63439283,-73.95026864,NY
3600 block of Hudson Street,Denver,Colorado,6,4,2016,39.76144202,-104.8767568,CO
3300 block of West Huron Street,Chicago,Illinois,5,31,2016,41.83861021,-87.68661087,IL
6600 block of Pawawna Drive,Fort Wayne,Indiana,5,31,2016,41.08849204,-85.14358989,IN
500 block of East 43rd Street,Baltimore,Maryland,5,30,2016,39.30097988,-76.61064805,MD
3900 block of 44th,Sacramento,California,5,30,2016,38.56663215,-121.4682998,CA
200 block of N 3rd St,Las Vegas,Nevada,5,29,2016,36.2277116,-115.2640448,NV
600 block of Martin Luther King Jr. Boulevard,Trenton,New Jersey,5,29,2016,40.223729,-74.76399433,NJ
300 block of South Meridian Street,Indianapolis,Indiana,5,29,2016,39.77710046,-86.14634767,IN
13210 Memorial Drive,Houston,Texas,5,29,2016,29.77295745,-95.57414439,TX
102 Isabella Avenue,Newark,New Jersey,5,23,2016,40.72417185,-74.17242155,NJ
8639 Apple St,New Orleans,Louisiana,5,22,2016,29.961556,-90.1237853,LA
Poplar and Sutter Streets,Stockton,California,5,22,2016,37.97672722,-121.3121116,CA
100 block of Rains Avenue,Nashville,Tennessee,5,22,2016,36.16746379,-86.78570268,TN
Levi Barnes Road,Jackson,Georgia,5,21,2016,33.2910663,-83.96814417,GA
34th Street and North Keystone Avenue,Indianapolis,Indiana,5,18,2016,39.77710046,-86.14634767,IN
5360 Savannah Highway,Ravenel,South Carolina,5,17,2016,32.7860364,-80.2035037,SC
420 North Garvin Street,Evansville,Indiana,5,15,2016,37.98671582,-87.53827073,IN
Rossman Dairy Road,Moultrie,Georgia,5,15,2016,31.15915162,-83.77163337,GA
Cordova and Peoples Street,Atlanta,Georgia,5,14,2016,33.76265247,-84.4231419,GA
2337 Washington St W,Charleston,West Virginia,5,14,2016,38.3483993,-81.63220222,WV
1400 block of 21st Street N,Birmingham,Alabama,5,11,2016,32.63501642,-86.80937931,AL
7100 block of South State Street,Chicago,Illinois,5,11,2016,41.83861021,-87.68661087,IL
8600 block of North Lamar,Austin,Texas,5,8,2016,30.3071816,-97.7559964,TX
12300 block of Gratiot,Detroit,Michigan,5,6,2016,41.93132091,-83.3292499,MI
1300 block of Clay Street,Montgomery,Alabama,5,6,2016,32.34724369,-86.2672602,AL
7101 Democracy Blvd,Bethesda,Maryland,5,6,2016,38.98667225,-77.11874935,MD
300 block of North Thomas Drive,Shreveport,Louisiana,5,5,2016,30.8956711,-91.67752985,LA
2108 NW 19th Terrace,Miami,Florida,5,5,2016,25.77525637,-80.20885121,FL
16th Avenue North and Newton Avenue North,Minneapolis,Minnesota,5,4,2016,44.96354079,-93.26783453,MN
1955 Old Castle Drive,Murfreesboro,Tennessee,5,1,2016,35.85077819,-86.40862823,TN
400 block of N Dade Ave,Saint Louis (Ferguson),Missouri,4,29,2016,38.30885939,-92.50820581,MO
3200 block of San Pablo Avenue,Oakland,California,4,29,2016,37.77108878,-122.2249767,CA
4300  Block of Kerrit Dr,Baton Rouge,Louisiana,4,27,2016,30.4507665,-91.12584647,LA
Pecan Drive,Kilmichael,Mississippi,4,27,2016,33.44037624,-89.56738751,MS
6500 block of Hil-Mar Drive,District Heights (Forestville),Maryland,4,26,2016,38.96206028,-77.00581636,MD
400 Charlotte Avenue,Nashville,Tennessee,4,25,2016,36.16746379,-86.78570268,TN
1506 Northwest 70th Street,Miami,Florida,4,25,2016,25.77525637,-80.20885121,FL
1055 L P Bailey Memorial Hwy,Halifax,Virginia,4,24,2016,36.76121467,-78.92793663,VA
2000 block of West 68th Place,Chicago (Englewood),Illinois,4,24,2016,40.10756121,-89.1611563,IL
1400 block of 14th Street,Denver,Colorado,4,24,2016,39.76144202,-104.8767568,CO
1650 South Hollywood Boulevard,Las Vegas,Nevada,4,23,2016,36.2277116,-115.2640448,NV
1200 block of Lee Road 83,Auburn,Alabama,4,23,2016,32.607722,-85.4895446,AL
3732 S.W. Topeka Boulevard,Topeka,Kansas,4,23,2016,38.99910809,-95.68671052,KS
West 141st Street and Edgecombe Avenue,New York (Manhattan),New York,4,23,2016,42.6687355,-75.44096178,NY
4077 Union Hill Road,Piketon,Ohio,4,22,2016,39.06488149,-82.99849006,OH
3162 Johnson Drive,Appling,Georgia,4,22,2016,33.59639362,-82.31233358,GA
4800 block of Frankford Avenue,Baltimore,Maryland,4,21,2016,39.30097988,-76.61064805,MD
81551 Us Highway 278,Blountsville,Alabama,4,19,2016,34.08141715,-86.58676491,AL
2700 block of West 53rd Street,Chicago,Illinois,4,19,2016,41.83861021,-87.68661087,IL
1400 block of West 84th Street,Chicago,Illinois,4,19,2016,41.83861021,-87.68661087,IL
1200 block of E. 17th Street,Long Beach,California,4,18,2016,33.80574739,-118.1612131,CA
600 block of Westmoreland Street,Philadelphia,Pennsylvania,4,17,2016,40.00763806,-75.1339627,PA
200 block of Eastview Road,Pelzer,South Carolina,4,17,2016,34.64489401,-82.46048327,SC
